1	K00752.01	Kepler-227 b	CONFIRMED	CANDIDATE	9.488035570	2.7750000e-05	-2.7750000e-05	2455003.539	2.160000e-03	-2.160000e-03	2.95750	0.08190	-0.08190	6.1580e+02	1.950e+01	-1.950e+01	2.26	2.600e-01	-1.500e-01	793.0			5455.00	81.00	-81.00	4.467	0.064	-0.096	0.1400	0.1500	-0.1500	291.934230	48.141651	15.347
2	K00752.02	Kepler-227 c	CONFIRMED	CANDIDATE	54.418382700	2.4790000e-04	-2.4790000e-04	2454995.514	3.520000e-03	-3.520000e-03	4.50700	0.11600	-0.11600	8.7480e+02	3.550e+01	-3.550e+01	2.83	3.200e-01	-1.900e-01	443.0			5455.00	81.00	-81.00	4.467	0.064	-0.096	0.1400	0.1500	-0.1500	291.934230	48.141651	15.347
3	K00753.01		FALSE POSITIVE	FALSE POSITIVE	19.899139950	1.4940000e-05	-1.4940000e-05	2455008.850	5.810000e-04	-5.810000e-04	1.78220	0.03410	-0.03410	1.0829e+04	1.710e+02	-1.710e+02	14.60	3.920e+00	-1.310e+00	638.0			5853.00	158.00	-176.00	4.544	0.044	-0.176	-0.1800	0.3000	-0.3000	297.004820	48.134129	15.436
4	K00754.01		FALSE POSITIVE	FALSE POSITIVE	1.736952453	2.6300000e-07	-2.6300000e-07	2455003.308	1.150000e-04	-1.150000e-04	2.40641	0.00537	-0.00537	8.0792e+03	1.280e+01	-1.280e+01	33.46	8.500e+00	-2.830e+00	1395.0			5805.00	157.00	-174.00	4.564	0.053	-0.168	-0.5200	0.3000	-0.3000	285.534610	48.285210	15.597
5	K00755.01	Kepler-664 b	CONFIRMED	CANDIDATE	2.525591777	3.7610000e-06	-3.7610000e-06	2455004.596	1.130000e-03	-1.130000e-03	1.65450	0.04200	-0.04200	6.0330e+02	1.690e+01	-1.690e+01	2.75	8.800e-01	-3.500e-01	1406.0			6031.00	169.00	-211.00	4.438	0.070	-0.210	0.0700	0.2500	-0.3000	288.754880	48.226200	15.509
6	K00756.01	Kepler-228 d	CONFIRMED	CANDIDATE	11.094320540	2.0360000e-05	-2.0360000e-05	2455004.201	1.410000e-03	-1.410000e-03	4.59450	0.06100	-0.06100	1.5175e+03	2.420e+01	-2.420e+01	3.90	1.270e+00	-4.200e-01	835.0			6046.00	189.00	-232.00	4.486	0.054	-0.229	-0.0800	0.2500	-0.3000	296.286130	48.224670	15.714
7	K00756.02	Kepler-228 c	CONFIRMED	CANDIDATE	4.134435120	1.0460000e-05	-1.0460000e-05	2455005.979	1.900000e-03	-1.900000e-03	3.14020	0.06730	-0.06730	6.8600e+02	1.870e+01	-1.870e+01	2.77	9.000e-01	-3.000e-01	1160.0			6046.00	189.00	-232.00	4.486	0.054	-0.229	-0.0800	0.2500	-0.3000	296.286130	48.224670	15.714
8	K00756.03	Kepler-228 b	CONFIRMED	CANDIDATE	2.566588970	1.7810000e-05	-1.7810000e-05	2455012.554	4.610000e-03	-4.610000e-03	2.42900	0.16500	-0.16500	2.2650e+02	1.680e+01	-1.680e+01	1.59	5.200e-01	-1.700e-01	1360.0			6046.00	189.00	-232.00	4.486	0.054	-0.229	-0.0800	0.2500	-0.3000	296.286130	48.224670	15.714
9	K00114.01		FALSE POSITIVE	FALSE POSITIVE	7.361789580	2.1280000e-05	-2.1280000e-05	2454965.251	2.530000e-03	-2.530000e-03	5.02200	0.13600	-0.13600	2.3370e+02	5.800e+00	-5.800e+00	39.21	6.450e+00	-9.670e+00	1342.0			6227.00	111.00	-124.00	3.986	0.182	-0.098	0.0000	0.1500	-0.1500	298.864350	42.151569	12.660
10	K00757.01	Kepler-229 c	CONFIRMED	CANDIDATE	16.068646740	1.0880000e-05	-1.0880000e-05	2455006.622	5.170000e-04	-5.170000e-04	3.53470	0.02410	-0.02410	4.9143e+03	3.330e+01	-3.330e+01	5.76	2.200e-01	-4.900e-01	600.0			5031.00	75.00	-83.00	4.485	0.083	-0.028	0.1600	0.1500	-0.1500	286.999480	48.375790	15.841
11	K00001.01	Kepler-1 b	CONFIRMED	CANDIDATE	2.470613377	2.7000000e-08	-2.7000000e-08	2454955.763	8.700000e-06	-8.700000e-06	1.74319	0.00107	-0.00107	1.4231e+04	4.200e+00	-4.200e+00	13.04	5.100e-01	-5.100e-01	1339.0			5820.00	78.00	-78.00	4.457	0.024	-0.024	-0.0600	0.1500	-0.1500	286.808470	49.316399	11.338
12	K00002.01	Kepler-2 b	CONFIRMED	CANDIDATE	2.204735417	4.3000000e-08	-4.3000000e-08	2454954.359	1.600000e-05	-1.600000e-05	3.88864	0.00203	-0.00203	6.6747e+03	1.700e+00	-1.700e+00	16.10	8.100e-01	-9.100e-01	2048.0			6440.00	76.00	-89.00	4.019	0.033	-0.027	0.1400	0.1500	-0.1500	292.247280	47.969521	10.463
13	K00010.01	Kepler-8 b	CONFIRMED	CANDIDATE	3.522498429	1.9800000e-07	-1.9800000e-07	2454954.119	4.710000e-05	-4.710000e-05	3.19843	0.00653	-0.00653	9.1457e+03	6.600e+00	-6.600e+00	14.59	1.110e+00	-1.110e+00	1521.0			6225.00	112.00	-137.00	4.169	0.055	-0.045	-0.0400	0.1500	-0.1500	281.288120	42.451080	13.563
14	K00112.02	Kepler-466 c	CONFIRMED	CANDIDATE	3.709214104	6.5360000e-06	-6.5360000e-06	2454966.983	1.430000e-03	-1.430000e-03	2.63020	0.04270	-0.04270	1.3110e+02	3.000e+00	-3.000e+00	1.16	1.700e-01	-1.200e-01	1206.0			5833.00	105.00	-117.00	4.407	0.085	-0.114	-0.0400	0.1500	-0.1500	295.648710	48.495560	12.772
15	K00742.01		FALSE POSITIVE	FALSE POSITIVE	11.521446064	1.9800000e-06	-1.9800000e-06	2455003.840	1.310000e-04	-1.310000e-04	3.63990	0.01140	-0.01140	1.7984e+04	3.190e+01	-3.190e+01	150.51	3.976e+01	-1.331e+01	753.0			5795.00	155.00	-172.00	4.554	0.033	-0.176	-0.2000	0.2500	-0.3000	297.079930	47.597401	15.472
